filename,width,height,class,xmin,ymin,xmax,ymax
000001.jpg,353,500,person,8,12,352,498
000009.jpg,500,375,person,150,141,229,284
000009.jpg,500,375,person,285,201,327,331
000009.jpg,500,375,person,258,198,297,329
000010.jpg,354,480,person,133,72,245,284
000014.jpg,500,333,person,314,8,344,65
000014.jpg,500,333,person,331,4,361,61
000014.jpg,500,333,person,357,8,401,61
000017.jpg,480,364,person,185,62,279,199
000021.jpg,336,500,person,210,36,336,482
000021.jpg,336,500,person,46,82,170,365
000021.jpg,336,500,person,11,181,142,419
000022.jpg,500,332,person,186,44,255,230
000023.jpg,334,500,person,2,1,117,369
000023.jpg,334,500,person,3,2,243,462
000023.jpg,334,500,person,225,1,334,486
000025.jpg,500,375,person,320,2,496,375
000025.jpg,500,375,person,221,4,341,374
000025.jpg,500,375,person,135,14,220,148
000025.jpg,500,375,person,58,54,104,139
000025.jpg,500,375,person,279,1,331,86
000025.jpg,500,375,person,320,22,344,96
000025.jpg,500,375,person,337,1,390,107
000027.jpg,486,500,person,174,101,349,351
000030.jpg,500,375,person,51,160,150,292
000030.jpg,500,375,person,295,138,450,290
000032.jpg,500,281,person,195,180,213,229
000032.jpg,500,281,person,26,189,44,238
000035.jpg,500,375,person,1,96,191,361
000035.jpg,500,375,person,218,98,465,318
000035.jpg,500,375,person,468,195,500,317
000038.jpg,500,375,person,192,111,261,240
000041.jpg,500,333,person,216,92,307,302
000041.jpg,500,333,person,164,148,227,244
000043.jpg,333,500,person,174,229,324,375
000043.jpg,333,500,person,5,145,250,500
000043.jpg,333,500,person,19,6,323,500
000048.jpg,375,500,person,2,1,302,500
000050.jpg,500,375,person,68,96,293,375
000050.jpg,500,375,person,1,71,87,332
000050.jpg,500,375,person,185,68,259,197
000050.jpg,500,375,person,286,64,406,238
000051.jpg,500,375,person,415,61,465,195
000055.jpg,500,333,person,219,107,273,187
000055.jpg,500,333,person,465,273,483,324
000055.jpg,500,333,person,436,279,456,327
000058.jpg,500,375,person,334,1,436,373
000058.jpg,500,375,person,196,80,309,326
000058.jpg,500,375,person,279,53,334,267
000059.jpg,375,500,person,110,210,328,500
000059.jpg,375,500,person,72,272,115,356
000059.jpg,375,500,person,125,274,171,353
000066.jpg,500,375,person,209,187,228,230
000066.jpg,500,375,person,242,182,274,259
000066.jpg,500,375,person,269,188,295,259
000069.jpg,500,375,person,305,155,390,375
000073.jpg,375,500,person,22,143,146,500
000076.jpg,500,375,person,63,78,265,375
000076.jpg,500,375,person,257,75,448,375
000076.jpg,500,375,person,362,130,446,261
000076.jpg,500,375,person,472,157,500,343
000076.jpg,500,375,person,457,209,478,255
000076.jpg,500,375,person,439,170,458,216
000076.jpg,500,375,person,247,142,288,197
000076.jpg,500,375,person,44,162,84,286
000076.jpg,500,375,person,77,157,120,245
000076.jpg,500,375,person,1,159,26,283
000076.jpg,500,375,person,24,174,45,201
000081.jpg,500,333,person,198,156,341,231
000081.jpg,500,333,person,349,145,451,266
000081.jpg,500,333,person,61,162,170,333
000081.jpg,500,333,person,29,166,73,213
000081.jpg,500,333,person,298,246,433,333
000081.jpg,500,333,person,196,215,332,330
000081.jpg,500,333,person,270,298,324,333
000083.jpg,500,333,person,380,2,435,135
000083.jpg,500,333,person,138,14,193,115
000083.jpg,500,333,person,1,20,75,204
000083.jpg,500,333,person,60,48,114,156
000083.jpg,500,333,person,32,51,83,162
000085.jpg,500,330,person,22,70,254,327
000085.jpg,500,330,person,338,12,500,199
000089.jpg,500,374,person,20,7,183,355
000089.jpg,500,374,person,98,215,429,374
000089.jpg,500,374,person,332,140,455,366
000090.jpg,500,333,person,33,33,307,255
000090.jpg,500,333,person,140,209,416,333
000096.jpg,330,500,person,2,144,176,500
000096.jpg,330,500,person,140,109,330,500
000097.jpg,500,375,person,208,139,267,235
000101.jpg,500,333,person,40,64,400,333
000104.jpg,500,333,person,291,75,442,333
000104.jpg,500,333,person,2,7,283,333
000105.jpg,500,333,person,202,71,295,215
000105.jpg,500,333,person,170,107,239,206
000110.jpg,500,375,person,79,233,110,314
000110.jpg,500,375,person,54,231,86,344
000110.jpg,500,375,person,31,233,50,303
000111.jpg,500,375,person,415,270,500,375
000111.jpg,500,375,person,337,182,356,206
000111.jpg,500,375,person,291,177,309,202
000111.jpg,500,375,person,278,185,300,212
000111.jpg,500,375,person,233,176,253,202
000111.jpg,500,375,person,221,184,249,216
000111.jpg,500,375,person,185,187,209,214
000111.jpg,500,375,person,178,177,201,200
000111.jpg,500,375,person,149,186,171,213
000111.jpg,500,375,person,112,186,135,222
000113.jpg,500,332,person,277,101,354,260
000124.jpg,500,375,person,2,6,104,146
000124.jpg,500,375,person,230,25,320,138
000124.jpg,500,375,person,78,15,478,375
000125.jpg,500,375,person,436,188,467,223
000125.jpg,500,375,person,382,209,415,272
000125.jpg,500,375,person,353,213,383,276
000126.jpg,500,215,person,458,136,495,175
000126.jpg,500,215,person,47,139,77,164
000126.jpg,500,215,person,37,140,51,167
000126.jpg,500,215,person,12,140,37,172
000127.jpg,500,375,person,68,21,371,375
000128.jpg,500,367,person,356,235,376,287
000128.jpg,500,367,person,387,204,414,291
000128.jpg,500,367,person,152,207,174,252
